Date,Ticker,Open,High,Low,Close,Volume,YoY_Open,YoY_High,YoY_Low,YoY_Close,YoY_Volume
2023-09-01,BJBR.JK,989.1863408536992,997.5692759456798,980.8034057617188,980.8034057617188,29076400.0,-0.0847843674722385,-0.1027557368583768,-0.06229177989316648,-0.06575195782714005,-0.5945087342029882
2023-10-01,BJBR.JK,980.8034076438602,984.9948751978937,926.3143294414235,951.463134765625,39602300.0,-0.06229171782820031,-0.0787564953579728,-0.0873449925427141,-0.10688204173567062,-0.5458061186455256
2023-11-01,BJBR.JK,951.4630737304688,972.42041015625,930.5057373046875,938.888671875,34199900.0,-0.10688214191959688,-0.10350976485950736,-0.11037942183376392,-0.10896508069200517,-0.415861623704473
2023-12-01,BJBR.JK,947.2716664189878,964.0375366210938,926.3143286663553,964.0375366210938,24782800.0,-0.10100939898925787,-0.09835750931076015,-0.09081525273465252,-0.07489469356791745,-0.5082572884981318
2024-01-01,BJBR.JK,964.0375358352334,1014.3351464005499,959.8460682881237,976.6119384765625,36715900.0,-0.0748946339856369,-0.04439052496345586,-0.06501368905905192,-0.07655949951135155,-0.22047086948859984
2024-02-01,BJBR.JK,976.6118774414062,1031.1009521484375,968.2289428710938,1010.1436157226562,43551200.0,-0.07655958508152871,-0.0561529938651768,-0.05327541152939985,-0.012291663110759132,-0.6459456405361967
2024-03-01,BJBR.JK,1010.1436157226562,1022.718017578125,980.8033447265625,1014.3350830078125,41761800.0,-0.016018850564729292,-0.04347493651926437,-0.011010907085043709,-0.03736406039046991,-0.6282569509660363
2024-04-01,BJBR.JK,1014.3351557689348,1047.866896455511,834.1020495785868,850.867919921875,112729900.0,-0.03736398334042257,-0.030491881678200383,-0.13529220502257622,-0.12493974028060939,-0.28271117980212657
2024-05-01,BJBR.JK,928.9476620513614,928.9476620513614,874.3036819306931,919.84033203125,66732900.0,-0.11701882667518415,-0.11701882667518415,-0.10475829536166104,-0.09689115932553027,-0.11130509822095624
2024-06-01,BJBR.JK,910.7330007651417,919.8403307727932,851.5353557154075,883.4110107421875,27273000.0,-0.10583288741095598,-0.09689121628506547,-0.12807193641290227,-0.10693165208320521,-0.12397294154680305
2024-07-01,BJBR.JK,887.9646763657079,938.0549914427478,887.9646763657079,901.6256713867188,32805600.0,-0.10232815097588754,-0.0902394285562591,-0.09465574200986948,-0.09617732899808829,-0.47886672862010626
2024-08-01,BJBR.JK,901.6256563579617,924.3939810134658,883.4109966335584,906.1793212890625,46606100.0,-0.09617739959617133,-0.08107564991770666,-0.0992986034307698,-0.08777978092472971,0.02649146647930878
2024-09-01,BJBR.JK,906.1792883996519,915.2866179313068,874.3036350388602,878.8572998046875,104154400.0,-0.08391447498396465,-0.08248315179551857,-0.1085842178944596,-0.10394142736265999,2.582094069417122
2024-10-01,BJBR.JK,878.8573159976881,906.1793050960619,874.3036511479592,892.518310546875,54631000.0,-0.10394141257224276,-0.08001622352197235,-0.056147979838363615,-0.061951768875701085,0.3794905851427821
2024-11-01,BJBR.JK,892.5183079496343,915.2866321320229,856.0889892578125,856.0889892578125,52117600.0,-0.061951711430823675,-0.0587541946132607,-0.07997451822535917,-0.08818903145548984,0.5239108886283292
2024-12-01,BJBR.JK,860.6426837627705,874.303678743132,824.2133638151399,828.7670288085938,42473500.0,-0.09145104380003743,-0.09308129037430923,-0.11022280633207249,-0.14031663983398068,0.7138297528931357
2025-01-01,BJBR.JK,824.2133354024684,869.7499837672457,824.2133354024684,856.0889892578125,22039800.0,-0.1450402035555831,-0.1425418049905658,-0.14130675466281273,-0.12340925240659695,-0.39972055703387366
2025-02-01,BJBR.JK,860.6426748356349,865.1963397818552,646.6204223632812,646.6204223632812,136511900.0,-0.11874645935045891,-0.1609004550145141,-0.3321616471762817,-0.35987278214822027,2.1345152372380096
2025-03-01,BJBR.JK,660.2814217073371,755.9083862304688,660.2814217073371,755.9083862304688,108618600.0,-0.34634896322641007,-0.260882889283091,-0.326795299733183,-0.25477448340939746,1.6009080068387855
2025-04-01,BJBR.JK,755.9084021066654,878.8573590758219,678.4960958668262,787.7840576171875,247104300.0,-0.2547745212147008,-0.16128912741816415,-0.18655505497244307,-0.07414060493722663,1.1920031863773497
2025-05-01,BJBR.JK,865.0,880.0,835.0,850.0,113323200.0,-0.06883882124225171,-0.05269151756437174,-0.04495426788538759,-0.07592658160250931,0.698160877168533
2025-06-01,BJBR.JK,855.0,855.0,790.0,810.0,83444100.0,-0.06119576288365336,-0.07049085434025093,-0.07226400560163382,-0.08309949711914055,2.059586404135959
2025-07-01,BJBR.JK,810.0,830.0,780.0,785.0,77099800.0,-0.08780155161667502,-0.11519046583458503,-0.12158667933457601,-0.12935043343136632,1.35020240446753
2025-08-01,BJBR.JK,785.0,810.0,770.0,790.0,66378700.0,-0.12935041891893462,-0.12375024433634796,-0.12837852037809938,-0.12820787073776363,0.42424918626531727
2025-09-01,BJBR.JK,780.0,790.0,750.0,765.0,94450700.0,-0.1392431829053271,-0.1368823879611334,-0.14217444610456786,-0.12955152085553656,-0.09316649128601384
2019-06-01,BJTM.JK,381.97077713613436,394.29241510826773,375.80995815006764,391.2120056152344,90773700.0,,,,,
2019-07-01,BJTM.JK,394.29248046875,400.4533004760743,385.0512504577637,394.29248046875,98961500.0,,,,,
2019-08-01,BJTM.JK,394.29241510826773,397.37282460130103,378.890367643101,391.2120056152344,111629400.0,,,,,
2019-09-01,BJTM.JK,391.2120056152344,403.53364358736775,388.131596122201,391.2120056152344,86143200.0,,,,,
2019-10-01,BJTM.JK,391.21207748634225,434.3378183116083,381.97084730949956,425.0965881347656,190129000.0,,,,,
2019-11-01,BJTM.JK,425.09658860426686,437.4182288536659,394.29248798076924,400.45330810546875,115184500.0,,,,,
2019-12-01,BJTM.JK,400.4532461792883,425.0965228672446,397.3728365932938,422.01611328125,75585600.0,,,,,
2020-01-01,BJTM.JK,422.0161245117187,422.0161245117187,357.327521484375,385.05120849609375,333212500.0,,,,,
2020-02-01,BJTM.JK,385.05123107413937,400.45328031710494,366.56877198258064,378.8904113769531,99083100.0,,,,,
2020-03-01,BJTM.JK,378.89045401795266,391.2120947990243,232.87901076225384,269.84393310546875,207752700.0,,,,,
2020-04-01,BJTM.JK,273.5403841291155,363.4883482796805,266.14740077427456,345.0058898925781,170622600.0,,,,,
2020-05-01,BJTM.JK,345.00587838595027,345.00587838595027,289.55850507392256,300.6479797363281,156878000.0,,,,,
2020-06-01,BJTM.JK,330.1137119140625,365.2897631835938,330.1137119140625,338.23126220703125,218918300.0,-0.13576186537325086,-0.07355620045774958,-0.12159402710068112,-0.1354271920282295,1.411693034436186
2020-07-01,BJTM.JK,338.2312289151279,436.31828530051496,336.87830399946733,372.0543518066406,787589000.0,-0.14218189372258472,0.08956096698866767,-0.12510788213523916,-0.056400083094843345,6.958539432001334
2020-08-01,BJTM.JK,375.4367073123194,432.9360228466386,348.3782058844045,402.4952087402344,551282300.0,-0.04782163458754529,0.08949579851369927,-0.080530317908313,0.028841658648117496,3.938504551668288
2020-09-01,BJTM.JK,402.4951578776042,409.2597823797488,338.23122510723044,344.995849609375,280442000.0,0.028841528635159097,0.014189991053723094,-0.12856559866169648,-0.11813583259843508,2.255532647962927
2020-10-01,BJTM.JK,348.3782022410426,402.49520453091327,344.99588959792567,392.3482666015625,378021100.0,-0.10949016584692495,-0.07331301221817643,-0.09680047043384488,-0.07703736620633883,0.988234830036449
2020-11-01,BJTM.JK,392.348243533157,463.37680486243545,372.0543688676489,429.5536804199219,495001400.0,-0.07703742149198023,0.0593449799218444,-0.05640005780228041,0.07266857764798096,3.297465370774714
