ticker,year,nodes_A,nodes_B,nodes_C,nodes_D,nodes_E,rel_A,rel_B,rel_C,rel_D,rel_E,node_growth_A_vs_A_pct,rel_growth_A_vs_A_pct,node_growth_B_vs_A_pct,rel_growth_B_vs_A_pct,node_growth_C_vs_A_pct,rel_growth_C_vs_A_pct,node_growth_D_vs_A_pct,rel_growth_D_vs_A_pct,node_growth_E_vs_A_pct,rel_growth_E_vs_A_pct
AUTO,2024,24322.0,24322.0,25850.0,25850.0,24322.0,26636.0,28163.0,52484.0,76805.0,49429.0,0.0,0.0,0.0,5.732842769184562,6.282378093906751,97.04159783751314,6.282378093906751,188.35035290584173,0.0,85.57215798167893
BAUT,2024,18308.0,18308.0,19533.0,19533.0,18308.0,20179.0,21403.0,39710.0,58017.0,37261.0,0.0,0.0,0.0,6.065711878685763,6.691064015730828,96.78874077010754,6.691064015730828,187.5117696615293,0.0,84.6523613657763
BINO,2024,21350.0,21350.0,22787.0,22787.0,21350.0,23461.0,24897.0,46246.0,67595.0,43373.0,0.0,0.0,0.0,6.120796214995098,6.730679156908666,97.11862239461233,6.730679156908666,188.11644857422957,0.0,84.87276757171476
BISI,2024,14676.0,14676.0,15629.0,15629.0,14676.0,15995.0,16947.0,31622.0,46297.0,29717.0,0.0,0.0,0.0,5.951859956236324,6.493594985009539,97.69928102532042,6.493594985009539,189.44670209440451,0.0,85.78930915911222
DGIK,2024,34934.0,34934.0,37180.0,37180.0,34934.0,38391.0,40636.0,75569.0,110502.0,71078.0,0.0,0.0,0.0,5.8477247271495925,6.429266617049293,96.8404053033263,6.429266617049293,187.83308587950302,0.0,85.1423510718658
DOID,2024,29125.0,29125.0,31001.0,31001.0,29125.0,31974.0,33849.0,62973.0,92097.0,59222.0,0.0,0.0,0.0,5.864139613435917,6.441201716738197,96.95064740101333,6.441201716738197,188.03715518859073,0.0,85.21924063301432
GHON,2023,18815.0,18815.0,19991.0,19991.0,18815.0,20694.0,21869.0,40683.0,59497.0,38332.0,0.0,0.0,0.0,5.6779742920653336,6.250332181769864,96.5932154247608,6.250332181769864,187.50845655745627,0.0,85.2324345220837
HDIT,2024,20569.0,20569.0,21780.0,21780.0,20569.0,22964.0,24174.0,44742.0,65310.0,42321.0,0.0,0.0,0.0,5.26911687859258,5.887500607710632,94.83539453056959,5.887500607710632,184.4016721825466,0.0,84.29280613133601
IBOS,2024,13839.0,13839.0,14736.0,14736.0,13839.0,15099.0,15995.0,29833.0,43671.0,28040.0,0.0,0.0,0.0,5.9341678256838195,6.481682202471277,97.58262136565335,6.481682202471277,189.2310749056229,0.0,85.70766275912311
INTD,2024,14408.0,14408.0,15374.0,15374.0,14408.0,15916.0,16881.0,31288.0,45695.0,29357.0,0.0,0.0,0.0,6.063081176174919,6.704608550805108,96.5820557929128,6.704608550805108,187.10103040965066,0.0,84.44961045488816
KOIN,2021,16175.0,16175.0,17236.0,17236.0,16175.0,17610.0,18670.0,34844.0,51018.0,32723.0,0.0,0.0,0.0,6.019307211811471,6.559505409582689,97.86484951731971,6.559505409582689,189.71039182282794,0.0,85.82055650198751
LAPD,2024,4558.0,4558.0,4842.0,4842.0,4558.0,5103.0,5386.0,9943.0,14500.0,9376.0,0.0,0.0,0.0,5.54575739760925,6.230802983764809,94.84616892024299,6.230802983764809,184.14658044287674,0.0,83.73505780913189
MAPI,2024,22501.0,22501.0,23973.0,23973.0,22501.0,24530.0,26001.0,48501.0,71001.0,45558.0,0.0,0.0,0.0,5.996738687321647,6.541931469712457,97.72115776600081,6.541931469712457,189.44557684467998,0.0,85.72360375050958
MFMI,2024,9944.0,9944.0,10575.0,10575.0,9944.0,10983.0,11613.0,21556.0,31499.0,20295.0,0.0,0.0,0.0,5.736137667304015,6.345534995977474,96.26695802604024,6.345534995977474,186.79777838477648,0.0,84.78557771100792
PBSA,2024,15445.0,15445.0,16449.0,16449.0,15445.0,16933.0,17936.0,33380.0,48824.0,31373.0,0.0,0.0,0.0,5.923344947735192,6.50048559404338,97.12986476111735,6.50048559404338,188.3363845744995,0.0,85.27726923758343
POWR,2023,21843.0,21843.0,23207.0,23207.0,21843.0,24206.0,25569.0,47411.0,69253.0,44684.0,0.0,0.0,0.0,5.63083533008345,6.244563475713043,95.86466165413535,6.244563475713043,186.09848797818722,0.0,84.59885978682972
PPRO,2024,44130.0,44130.0,47530.0,47530.0,44130.0,47966.0,51365.0,95494.0,139623.0,88695.0,0.0,0.0,0.0,7.086269440853939,7.704509404033537,99.0868531876746,7.704509404033537,191.08743693449526,0.0,84.91222949589292
PUDP,2024,13754.0,13754.0,14685.0,14685.0,13754.0,15094.0,16024.0,29777.0,43530.0,27916.0,0.0,0.0,0.0,6.161388631244203,6.768939944743348,97.27706373393401,6.768939944743348,188.3927388366238,0.0,84.94766132237976
RODA,2024,13879.0,13879.0,14816.0,14816.0,13879.0,15002.0,15938.0,29816.0,43694.0,27943.0,0.0,0.0,0.0,6.239168110918544,6.751206859283811,98.74683375549927,6.751206859283811,191.25449940008,0.0,86.2618317557659
ROTI,2021,16031.0,16031.0,17183.0,17183.0,16031.0,17479.0,18630.0,34660.0,50690.0,32357.0,0.0,0.0,0.0,6.585044911036101,7.186076975859272,98.29509697351108,7.186076975859272,190.00514903598605,0.0,85.11928600034327
SEMA,2024,11701.0,11701.0,12474.0,12474.0,11701.0,12818.0,13590.0,25290.0,36990.0,23745.0,0.0,0.0,0.0,6.0227804649711345,6.606272968122383,97.30067093150258,6.606272968122383,188.57856139803403,0.0,85.2473084724606
SKRN,2024,22289.0,22289.0,23727.0,23727.0,22289.0,24483.0,25920.0,48208.0,70496.0,45333.0,0.0,0.0,0.0,5.869378752603847,6.451612903225806,96.90397418616999,6.451612903225806,187.93856961973614,0.0,85.16113221418944
SOSS,2024,16210.0,16210.0,17308.0,17308.0,16210.0,17865.0,18962.0,35171.0,51380.0,32976.0,0.0,0.0,0.0,6.140498180800448,6.7735965453423805,96.8709767702211,6.7735965453423805,187.60145535964176,0.0,84.58438287153652
SSMS,2022,23832.0,23832.0,25351.0,25351.0,23832.0,26025.0,27543.0,51374.0,75205.0,48337.0,0.0,0.0,0.0,5.8328530259366,6.373783148707619,97.40249759846301,6.373783148707619,188.97214217098943,0.0,85.73294908741595
SSTM,2023,12265.0,12265.0,13056.0,13056.0,12265.0,13401.0,14191.0,26455.0,38719.0,24874.0,0.0,0.0,0.0,5.895082456533094,6.449245821443131,97.41064099694053,6.449245821443131,188.92619953734794,0.0,85.61301395418252
WEGE,2021,37642.0,37642.0,40405.0,40405.0,37642.0,40874.0,43636.0,81277.0,118918.0,75752.0,0.0,0.0,0.0,6.75735186181925,7.340205090058976,98.84767823066008,7.340205090058976,190.93800459950089,0.0,85.3305279639869
