ticker_and_date,ticker,report_year,close_year,close_next_year,next_year_return,next_year_return_winsor,next_year_return_scaled
APII_2022,APII,2022,197.0,187.0,-0.0507614213197969,-0.0507614213197969,-0.0065337339018854
APII_2023,APII,2023,187.0,178.0,-0.0481283422459893,-0.0481283422459893,-0.00619481829307103
APII_2024,APII,2024,178.0,206.0,0.1573033707865168,0.1573033707865168,0.020247233821797692
APLI_2021,APLI,2021,177.49496459960938,241.2552947998047,0.3592233184982175,0.3592233184982175,0.04623727061606578
APLI_2022,APLI,2022,241.2552947998047,516.9756469726562,1.1428572061046214,1.1428572061046214,0.14710235998903412
APLI_2023,APLI,2023,516.9756469726562,474.0048828125,-0.0831195132919463,-0.0831195132919463,-0.010698691403504944
APLI_2024,APLI,2024,474.0048828125,325.2804260253906,-0.3137614446177333,-0.3137614446177333,-0.040385665619727465
APLN_2021,APLN,2021,122.0,154.0,0.2622950819672131,0.2622950819672131,0.03376119550613574
APLN_2022,APLN,2022,154.0,129.0,-0.1623376623376623,-0.1623376623376623,-0.020895220432977677
APLN_2023,APLN,2023,129.0,92.0,-0.2868217054263566,-0.2868217054263566,-0.036918129000653284
APLN_2024,APLN,2024,92.0,105.0,0.1413043478260869,0.1413043478260869,0.018187926655139696
ARCI_2023,ARCI,2023,395.2668151855469,240.26022338867188,-0.3921568566896047,-0.3921568566896047,-0.05047629642337084
ARCI_2024,ARCI,2024,240.26022338867188,1592.29931640625,5.627394638813634,5.627394638813634,0.724327612878825
ARGO_2021,ARGO,2021,900.0,900.0,0.0,0.0,0.0
ARGO_2023,ARGO,2023,960.0,980.0,0.0208333333333333,0.0208333333333333,0.0026815532888987983
ARGO_2024,ARGO,2024,980.0,995.0,0.0153061224489795,0.0153061224489795,0.001970120783680741
ARII_2021,ARII,2021,250.0,296.0,0.184,0.184,0.023683478647554223
ARII_2022,ARII,2022,296.0,218.0,-0.2635135135135135,-0.2635135135135135,-0.03391802538390917
ARII_2023,ARII,2023,218.0,236.0,0.0825688073394495,0.0825688073394495,0.010627807530314514
ARII_2024,ARII,2024,236.0,322.0,0.3644067796610169,0.3644067796610169,0.04690445752785701
ARKA_2022,ARKA,2022,50.0,50.0,0.0,0.0,0.0
ARKA_2023,ARKA,2023,50.0,28.0,-0.44,-0.44,-0.056634405461542706
ARKA_2024,ARKA,2024,28.0,34.0,0.2142857142857142,0.2142857142857142,0.027581690971530525
ARNA_2021,ARNA,2021,579.5275268554688,758.5030517578125,0.3088300669227388,0.3088300669227388,0.03975092552004036
ARNA_2022,ARNA,2022,758.5030517578125,536.6005859375,-0.2925531615279054,-0.2925531615279054,-0.03765585083869907
ARNA_2023,ARNA,2023,536.6005859375,592.400390625,0.1039875955223038,0.1039875955223038,0.013384717381320582
ARNA_2024,ARNA,2024,592.400390625,486.238525390625,-0.1792062714921087,-0.1792062714921087,-0.023066456002125875
ARTA_2021,ARTA,2021,2242.911865234375,2523.276123046875,0.1250001224560837,0.1250001224560837,0.016089335495273485
ARTA_2022,ARTA,2022,2523.276123046875,2953.167236328125,0.1703702220120694,0.1703702220120694,0.021929127800010422
ARTA_2023,ARTA,2023,2953.167236328125,2276.659912109375,-0.2290785688994362,-0.2290785688994362,-0.029485746712728675
ARTA_2024,ARTA,2024,2276.659912109375,3400.0,0.4934158509646818,0.4934158509646818,0.0635098031015589
ARTI_2021,ARTI,2021,50.0,50.0,0.0,0.0,0.0
ARTI_2022,ARTI,2022,50.0,5.0,-0.9,-0.86,-0.11069451976574256
ARTI_2023,ARTI,2023,5.0,2.0,-0.6,-0.6,-0.0772287347202855
ARTI_2024,ARTI,2024,2.0,2.0,0.0,0.0,0.0
ASGR_2021,ASGR,2021,592.2216796875,701.7085571289062,0.1848748217038924,0.1848748217038924,0.023796080936383315
ASGR_2022,ASGR,2022,701.7085571289062,685.8595581054688,-0.0225862986312791,-0.0225862986312791,-0.0029071854421803354
ASGR_2023,ASGR,2023,685.8595581054688,707.5537719726562,0.031630694084242,0.031630694084242,0.00407133080408405
ASGR_2024,ASGR,2024,707.5537719726562,1042.088134765625,0.4728041543193087,0.4728041543193087,0.06085677768095804
ASHA_2024,ASHA,2024,12.0,72.0,5.0,5.0,0.6435727893357126
ASII_2021,ASII,2021,3893.855712890625,4050.83251953125,0.0403139762269445,0.0403139762269445,0.0051889956259176554
ASII_2022,ASII,2022,4050.83251953125,4453.9208984375,0.099507539984125,0.099507539984125,0.012808069013503655
ASII_2023,ASII,2023,4453.9208984375,4295.0498046875,-0.0356699405698323,-0.0356699405698323,-0.004591240629593213
ASII_2024,ASII,2024,4295.0498046875,6377.958984375,0.484955768711755,0.484955768711755,0.06242086735485377
ASLC_2024,ASLC,2024,75.796875,87.0,0.1478045763760049,0.1478045763760049,0.019024600698977767
ASPI_2022,ASPI,2022,89.0,138.0,0.550561797752809,0.550561797752809,0.07086531837629195
ASPI_2023,ASPI,2023,138.0,132.0,-0.0434782608695652,-0.0434782608695652,-0.005596285124658368
ASPI_2024,ASPI,2024,132.0,680.0,4.151515151515151,4.151515151515151,0.5343604372060159
